datetime,1B-El-AHU
2021-08-16 09:00:00,220.73533086818185
2021-08-16 09:15:00,220.27417840763889
2021-08-16 09:30:00,220.05191820641028
2021-08-16 09:45:00,219.34495707857144
2021-08-16 10:00:00,218.8015018780303
2021-08-16 10:15:00,218.6960992055556
2021-08-16 10:30:00,218.07723035
2021-08-16 10:45:00,217.5577983151516
2021-08-16 11:00:00,223.6690743363636
2021-08-16 11:15:00,225.08536173717948
2021-08-16 11:30:00,230.01839669166665
2021-08-16 11:45:00,240.21775234375
2021-08-16 12:00:00,253.17550685
2021-08-16 12:15:00,274.5038599007576
2021-08-16 12:30:00,285.4764471972222
2021-08-16 12:45:00,290.03572651474354
2021-08-16 13:00:00,287.56170395119045
2021-08-16 13:15:00,281.2831128027778
2021-08-16 13:30:00,279.64398571602567
