datetime,1B-VAV3-DischargeAirflow
2021-08-17 12:00:00,263.0
2021-08-17 12:15:00,183.0
2021-08-17 12:30:00,186.0
2021-08-17 12:45:00,215.0
2021-08-17 13:00:00,287.0
2021-08-17 13:15:00,363.0
2021-08-17 13:30:00,391.0
2021-08-17 13:45:00,402.0
2021-08-17 14:00:00,403.0
2021-08-17 14:15:00,105.38
2021-08-17 14:30:00,104.38
2021-08-17 14:45:00,103.93
2021-08-17 15:00:00,106.23
2021-08-17 15:15:00,191.0
2021-08-17 15:30:00,226.0
2021-08-17 15:45:00,257.0
2021-08-17 16:00:00,243.0
2021-08-17 16:15:00,229.0
2021-08-17 16:30:00,204.0
2021-08-17 16:45:00,182.0
2021-08-17 17:00:00,164.0
2021-08-17 17:15:00,140.23
2021-08-17 17:30:00,119.26
2021-08-17 17:45:00,105.93
2021-08-17 18:00:00,105.62
2021-08-17 18:15:00,401.0
2021-08-17 18:30:00,278.0
2021-08-17 18:45:00,181.0
2021-08-17 19:00:00,122.97
2021-08-17 19:15:00,105.1
2021-08-17 19:30:00,104.1
2021-08-17 19:45:00,103.15
2021-08-17 20:00:00,104.45
2021-08-17 20:15:00,103.18
2021-08-17 20:30:00,104.14
2021-08-17 20:45:00,104.52
2021-08-17 21:00:00,103.99
2021-08-17 21:15:00,103.06
2021-08-17 21:30:00,103.55
2021-08-17 21:45:00,103.77
2021-08-17 22:00:00,103.59
2021-08-17 22:15:00,104.43
2021-08-17 22:30:00,103.31
2021-08-17 22:45:00,103.62
2021-08-17 23:00:00,104.04
2021-08-17 23:15:00,105.1
2021-08-17 23:30:00,103.73
2021-08-17 23:45:00,104.71
2021-08-18 00:00:00,105.58
2021-08-18 00:15:00,105.47
2021-08-18 00:30:00,105.3
2021-08-18 00:45:00,104.43
2021-08-18 01:00:00,105.6
2021-08-18 01:15:00,105.21
2021-08-18 01:30:00,104.34
2021-08-18 01:45:00,104.86
2021-08-18 02:00:00,104.41
2021-08-18 02:15:00,104.45
2021-08-18 02:30:00,104.75
2021-08-18 02:45:00,105.32
2021-08-18 03:00:00,104.38
2021-08-18 03:15:00,105.3
2021-08-18 03:30:00,105.25
2021-08-18 03:45:00,104.54
2021-08-18 04:00:00,104.6
2021-08-18 04:15:00,105.45
2021-08-18 04:30:00,105.73
2021-08-18 04:45:00,104.82
2021-08-18 05:00:00,105.3
2021-08-18 05:15:00,105.38
2021-08-18 05:30:00,104.04
2021-08-18 05:45:00,104.6
2021-08-18 06:00:00,104.49
2021-08-18 06:15:00,104.64
2021-08-18 06:30:00,105.04
2021-08-18 06:45:00,103.73
2021-08-18 07:00:00,105.02
2021-08-18 07:15:00,190.0
2021-08-18 07:30:00,403.0
2021-08-18 07:45:00,170.0
2021-08-18 08:00:00,365.0
2021-08-18 08:15:00,163.2
2021-08-18 08:30:00,104.75
2021-08-18 08:45:00,105.3
2021-08-18 09:00:00,104.89
2021-08-18 09:15:00,104.23
2021-08-18 09:30:00,103.7
2021-08-18 09:45:00,103.95
2021-08-18 10:00:00,103.09
2021-08-18 10:15:00,104.78
2021-08-18 10:30:00,103.97
2021-08-18 10:45:00,102.58
2021-08-18 11:00:00,104.25
2021-08-18 11:15:00,104.14
2021-08-18 11:30:00,141.13
2021-08-18 11:45:00,211.0
2021-08-18 12:00:00,272.0
2021-08-18 12:15:00,393.0
2021-08-18 12:30:00,396.0
2021-08-18 12:45:00,404.0
2021-08-18 13:00:00,342.0
2021-08-18 13:15:00,233.0
2021-08-18 13:30:00,199.0
2021-08-18 13:45:00,191.0
2021-08-18 14:00:00,194.0
2021-08-18 14:15:00,106.23
2021-08-18 14:30:00,105.43
2021-08-18 14:45:00,104.6
2021-08-18 15:00:00,104.89
2021-08-18 15:15:00,104.71
2021-08-18 15:30:00,103.97
2021-08-18 15:45:00,104.23
2021-08-18 16:00:00,104.71
2021-08-18 16:15:00,104.6
2021-08-18 16:30:00,104.86
2021-08-18 16:45:00,103.93
2021-08-18 17:00:00,103.9
2021-08-18 17:15:00,104.21
2021-08-18 17:30:00,112.65
2021-08-18 17:45:00,103.38
2021-08-18 18:00:00,104.91
2021-08-18 18:15:00,399.0
2021-08-18 18:30:00,403.0
2021-08-18 18:45:00,295.0
2021-08-18 19:00:00,186.0
2021-08-18 19:15:00,105.28
2021-08-18 19:30:00,104.97
2021-08-18 19:45:00,104.93
2021-08-18 20:00:00,105.32
2021-08-18 20:15:00,104.56
2021-08-18 20:30:00,104.41
2021-08-18 20:45:00,104.23
2021-08-18 21:00:00,103.84
2021-08-18 21:15:00,104.21
2021-08-18 21:30:00,103.95
2021-08-18 21:45:00,104.82
2021-08-18 22:00:00,104.64
2021-08-18 22:15:00,104.21
2021-08-18 22:30:00,103.68
2021-08-18 22:45:00,104.34
2021-08-18 23:00:00,104.93
2021-08-18 23:15:00,104.12
2021-08-18 23:30:00,103.97
2021-08-18 23:45:00,104.64
2021-08-19 00:00:00,104.89
2021-08-19 00:15:00,103.97
2021-08-19 00:30:00,105.93
2021-08-19 00:45:00,104.23
2021-08-19 01:00:00,104.67
2021-08-19 01:15:00,106.55
2021-08-19 01:30:00,106.65
2021-08-19 01:45:00,107.27
2021-08-19 02:00:00,105.19
2021-08-19 02:15:00,106.57
2021-08-19 02:30:00,105.99
2021-08-19 02:45:00,105.64
2021-08-19 03:00:00,105.77
2021-08-19 03:15:00,104.75
2021-08-19 03:30:00,105.8
2021-08-19 03:45:00,105.6
2021-08-19 04:00:00,106.27
2021-08-19 04:15:00,105.56
2021-08-19 04:30:00,105.14
2021-08-19 04:45:00,105.64
2021-08-19 05:00:00,104.95
2021-08-19 05:15:00,105.88
2021-08-19 05:30:00,105.32
2021-08-19 05:45:00,105.34
2021-08-19 06:00:00,105.49
2021-08-19 06:15:00,214.0
2021-08-19 06:30:00,302.0
2021-08-19 06:45:00,156.17
2021-08-19 07:00:00,76.99
2021-08-19 07:15:00,243.0
2021-08-19 07:30:00,361.0
2021-08-19 07:45:00,339.0
2021-08-19 08:00:00,306.0
2021-08-19 08:15:00,118.2
2021-08-19 08:30:00,348.0
2021-08-19 08:45:00,108.38
2021-08-19 09:00:00,78.48
2021-08-19 09:15:00,110.11
2021-08-19 09:30:00,102.95
2021-08-19 09:45:00,107.99
2021-08-19 10:00:00,104.47
2021-08-19 10:15:00,107.04
2021-08-19 10:30:00,107.7
2021-08-19 10:45:00,101.48
2021-08-19 11:00:00,105.45
2021-08-19 11:15:00,100.17
2021-08-19 11:30:00,106.25
2021-08-19 11:45:00,105.88
2021-08-19 12:00:00,105.86
2021-08-19 12:15:00,103.77
2021-08-19 12:30:00,105.38
2021-08-19 12:45:00,127.16
2021-08-19 13:00:00,130.09
2021-08-19 13:15:00,129.05
2021-08-19 13:30:00,134.68
2021-08-19 13:45:00,132.52
2021-08-19 14:00:00,131.16
2021-08-19 14:15:00,103.18
2021-08-19 14:30:00,103.88
2021-08-19 14:45:00,104.8
2021-08-19 15:00:00,106.63
2021-08-19 15:15:00,104.89
2021-08-19 15:30:00,104.1
2021-08-19 15:45:00,103.95
2021-08-19 16:00:00,104.27
2021-08-19 16:15:00,103.24
2021-08-19 16:30:00,105.25
2021-08-19 16:45:00,106.14
2021-08-19 17:00:00,104.71
2021-08-19 17:15:00,110.68
2021-08-19 17:30:00,103.62
2021-08-19 17:45:00,104.82
2021-08-19 18:00:00,103.2
2021-08-19 18:15:00,102.93
2021-08-19 18:30:00,103.86
2021-08-19 18:45:00,104.49
2021-08-19 19:00:00,105.49
2021-08-19 19:15:00,104.54
2021-08-19 19:30:00,105.69
2021-08-19 19:45:00,105.82
2021-08-19 20:00:00,104.97
2021-08-19 20:15:00,105.25
2021-08-19 20:30:00,105.08
2021-08-19 20:45:00,104.01
2021-08-19 21:00:00,73.9
2021-08-19 21:15:00,80.58
2021-08-19 21:30:00,81.37
2021-08-19 21:45:00,80.24
2021-08-19 22:00:00,79.87
2021-08-19 22:15:00,103.24
2021-08-19 22:30:00,103.84
2021-08-19 22:45:00,103.02
2021-08-19 23:00:00,104.69
2021-08-19 23:15:00,105.14
2021-08-19 23:30:00,104.52
2021-08-19 23:45:00,105.17
2021-08-20 00:00:00,104.95
2021-08-20 00:15:00,104.95
2021-08-20 00:30:00,103.99
2021-08-20 00:45:00,105.43
2021-08-20 01:00:00,104.75
2021-08-20 01:15:00,104.84
2021-08-20 01:30:00,104.04
2021-08-20 01:45:00,103.51
2021-08-20 02:00:00,104.43
2021-08-20 02:15:00,105.32
2021-08-20 02:30:00,104.19
2021-08-20 02:45:00,104.86
2021-08-20 03:00:00,104.25
2021-08-20 03:15:00,104.89
2021-08-20 03:30:00,104.41
2021-08-20 03:45:00,104.91
2021-08-20 04:00:00,104.63
2021-08-20 04:15:00,104.27
2021-08-20 04:30:00,104.69
2021-08-20 04:45:00,104.25
2021-08-20 05:00:00,104.47
2021-08-20 05:15:00,103.93
2021-08-20 05:30:00,105.14
2021-08-20 05:45:00,103.55
2021-08-20 06:00:00,104.12
2021-08-20 06:15:00,104.21
2021-08-20 06:30:00,104.19
2021-08-20 06:45:00,104.75
2021-08-20 07:00:00,105.6
2021-08-20 07:15:00,281.0
2021-08-20 07:30:00,328.0
2021-08-20 07:45:00,309.0
2021-08-20 08:00:00,332.0
2021-08-20 08:15:00,80.83
2021-08-20 08:30:00,102.36
2021-08-20 08:45:00,111.73
2021-08-20 09:00:00,106.16
2021-08-20 09:15:00,104.84
2021-08-20 09:30:00,105.69
2021-08-20 09:45:00,104.69
2021-08-20 10:00:00,105.21
2021-08-20 10:15:00,104.73
2021-08-20 10:30:00,105.66
2021-08-20 10:45:00,104.97
2021-08-20 11:00:00,103.59
2021-08-20 11:15:00,103.81
2021-08-20 11:30:00,117.56
2021-08-20 11:45:00,191.0
2021-08-20 12:00:00,318.0
2021-08-20 12:15:00,321.0
2021-08-20 12:30:00,386.0
2021-08-20 12:45:00,367.0
2021-08-20 13:00:00,285.0
2021-08-20 13:15:00,212.0
