datetime,1B-Th-Chilled Water
2021-08-16 22:00:00,-19.2360380947499
2021-08-16 22:15:00,-17.72732828611418
2021-08-16 22:30:00,-16.478506040646312
2021-08-16 22:45:00,-15.63079025517628
2021-08-16 23:00:00,-14.83560272480333
2021-08-16 23:15:00,-14.197788903549736
2021-08-16 23:30:00,-13.74113117511884
2021-08-16 23:45:00,-12.7444935595115
2021-08-17 00:00:00,-12.179910845185962
2021-08-17 00:15:00,-11.56844861377899
2021-08-17 00:30:00,-10.805736119411389
2021-08-17 00:45:00,-10.405908492963263
2021-08-17 01:00:00,-9.87167840471966
2021-08-17 01:15:00,-9.282852667909252
2021-08-17 01:30:00,-9.03741540594488
2021-08-17 01:45:00,-8.605893893519683
2021-08-17 02:00:00,-8.011605336266255
2021-08-17 02:15:00,-7.631305022764789
2021-08-17 02:30:00,-7.363612338080496
2021-08-17 02:45:00,-7.053109136324282
2021-08-17 03:00:00,-6.669451403887248
2021-08-17 03:15:00,-6.353894069983052
2021-08-17 03:30:00,-6.06490523413596
2021-08-17 03:45:00,-5.987639220506789
2021-08-17 04:00:00,-5.678149758302946
2021-08-17 04:15:00,-5.4329375408569
2021-08-17 04:30:00,-5.218108428600224
2021-08-17 04:45:00,-5.136214315995902
2021-08-17 05:00:00,-4.912319846845902
2021-08-17 05:15:00,-4.787641813303932
2021-08-17 05:30:00,-4.573698850376897
2021-08-17 05:45:00,-4.360544473949096
2021-08-17 06:00:00,-4.220266657327446
2021-08-17 06:15:00,-4.03522970836261
2021-08-17 06:30:00,-3.89314535928272
2021-08-17 06:45:00,-3.764478246593167
2021-08-17 07:00:00,-3.735523399163746
2021-08-17 07:15:00,-3.384139913429368
2021-08-17 07:30:00,-3.2868830684222026
2021-08-17 07:45:00,-3.247919338160054
2021-08-17 08:00:00,-3.230071540103628
2021-08-17 08:15:00,-3.0891435692763736
2021-08-17 08:30:00,-3.011251169600337
2021-08-17 08:45:00,-2.828298310774161
2021-08-17 09:00:00,-2.6110064004629163
2021-08-17 09:15:00,-2.533262523536148
2021-08-17 09:30:00,-2.4181130831840965
2021-08-17 09:45:00,-2.321707866646737
2021-08-17 10:00:00,-2.174491051796935
2021-08-17 10:15:00,-1.868423532318295
2021-08-17 10:30:00,-1.7637971530836372
2021-08-17 10:45:00,-1.7024613859964484
2021-08-17 11:00:00,-1.48081318947618
2021-08-17 11:15:00,-1.1367706992163071
2021-08-17 11:30:00,-0.8005112956616892
2021-08-17 11:45:00,-0.6718208908175511
2021-08-17 12:00:00,-4163.375876449011
2021-08-17 12:15:00,-3103.534917778164
2021-08-17 12:30:00,-1817.569867011014
2021-08-17 12:45:00,-514.557322191913
2021-08-17 13:00:00,-132.28924145372096
2021-08-17 13:15:00,-1924.837439933786
2021-08-17 13:30:00,-1663.9008543646603
2021-08-17 13:45:00,-2126.092144952317
2021-08-17 14:00:00,-2645.5893277096534
2021-08-17 14:15:00,-634.4113498916453
2021-08-17 14:30:00,-1212.4783336681571
2021-08-17 14:45:00,-298.559274231369
2021-08-17 15:00:00,-1487.153058188053
2021-08-17 15:15:00,-128.56049420471516
2021-08-17 15:30:00,-1259.0827337509477
2021-08-17 15:45:00,-1709.285745012131
2021-08-17 16:00:00,-1796.7921767698783
2021-08-17 16:15:00,-1553.537051297984
2021-08-17 16:30:00,-512.9267340773741
2021-08-17 16:45:00,-653.2152947554296
2021-08-17 17:00:00,-1825.7608197131576
2021-08-17 17:15:00,-578.0459983329954
2021-08-17 17:30:00,-474.7647454651098
2021-08-17 17:45:00,-1958.9635628003723
2021-08-17 18:00:00,-145.6984885667143
2021-08-17 18:15:00,-3261.864504401405
2021-08-17 18:30:00,-3304.8857304760827
2021-08-17 18:45:00,-2164.7108784583093
2021-08-17 19:00:00,-1000.6774336896668
2021-08-17 19:15:00,-15.916720302383226
2021-08-17 19:30:00,-14.970639379349985
2021-08-17 19:45:00,-14.429463246172398
2021-08-17 20:00:00,-13.214141096486255
2021-08-17 20:15:00,-12.47375803247036
2021-08-17 20:30:00,-11.71740859317006
2021-08-17 20:45:00,-11.2604674281462
2021-08-17 21:00:00,-10.31846366423645
2021-08-17 21:15:00,-9.974033912252713
2021-08-17 21:30:00,-9.68195922284798
2021-08-17 21:45:00,-9.445654680802416
2021-08-17 22:00:00,-8.996573763866781
2021-08-17 22:15:00,-8.870517360755718
2021-08-17 22:30:00,-8.546690106750445
2021-08-17 22:45:00,-7.928936860836986
2021-08-17 23:00:00,-7.505076248377713
2021-08-17 23:15:00,-7.325717101190698
2021-08-17 23:30:00,-7.035658497435847
2021-08-17 23:45:00,-6.856116532031255
2021-08-18 00:00:00,-6.796120224467765
2021-08-18 00:15:00,-6.638339620483969
2021-08-18 00:30:00,-6.487717914931031
2021-08-18 00:45:00,-6.173384835672183
2021-08-18 01:00:00,-5.94747225936808
2021-08-18 01:15:00,-5.7755960168488825
