datetime,1B-MidZone-TCS9-DBT
2021-08-16 08:45:00,22.902126943204507
2021-08-16 09:00:00,23.04629653528343
2021-08-16 09:15:00,23.324413248517487
2021-08-16 09:30:00,23.47684008837535
2021-08-16 09:45:00,23.603224548539288
2021-08-16 10:00:00,23.75818025145384
2021-08-16 10:15:00,23.871888545278697
2021-08-16 10:30:00,23.9881981444874
2021-08-16 10:45:00,24.07098885431133
2021-08-16 11:00:00,23.9262340117952
2021-08-16 11:15:00,23.7659931732407
2021-08-16 11:30:00,23.724661155983146
2021-08-16 11:45:00,23.83305890395337
2021-08-16 12:00:00,23.962333208416453
2021-08-16 12:15:00,23.990834180704383
2021-08-16 12:30:00,23.88739917244976
2021-08-16 12:45:00,23.80721400085588
2021-08-16 13:00:00,23.729698905663952
2021-08-16 13:15:00,23.629042532067444
