datetime,1A-Th-Chilled Water
2021-08-18 15:30:00,-1613.1183564836
2021-08-18 15:45:00,-1659.7117372838802
2021-08-18 16:00:00,-1677.3318484110591
2021-08-18 16:15:00,-1785.96008570532
2021-08-18 16:30:00,-1705.1678341975912
2021-08-18 16:45:00,-1725.9399758430409
2021-08-18 17:00:00,-1703.0420932184963
2021-08-18 17:15:00,-1352.4732459142765
2021-08-18 17:30:00,-1306.5324127547606
2021-08-18 17:45:00,-1714.4669567650103
2021-08-18 18:00:00,-99.7671618998848
2021-08-18 18:15:00,-1441.255191568301
2021-08-18 18:30:00,-1281.151651015831
2021-08-18 18:45:00,-1088.0448262360796
2021-08-18 19:00:00,-1250.079362920153
2021-08-18 19:15:00,-1210.3637532485238
2021-08-18 19:30:00,-1397.1627429010646
2021-08-18 19:45:00,-1368.2621125895355
2021-08-18 20:00:00,-1094.7516747209752
2021-08-18 20:15:00,-1098.4748109226962
2021-08-18 20:30:00,-1076.44711186825
2021-08-18 20:45:00,-1188.0778019026304
2021-08-18 21:00:00,-1133.6755113868198
2021-08-18 21:15:00,-915.8148894905536
2021-08-18 21:30:00,-1000.9941458270358
2021-08-18 21:45:00,-981.5057106243768
2021-08-18 22:00:00,-934.1641936658096
2021-08-18 22:15:00,-1413.9286055796008
2021-08-18 22:30:00,-1025.773444772476
2021-08-18 22:45:00,-1123.5575456236843
2021-08-18 23:00:00,-1057.9912830493286
2021-08-18 23:15:00,-1053.8771170560783
2021-08-18 23:30:00,-1121.7077408098398
2021-08-18 23:45:00,-1121.1215232538875
2021-08-19 00:00:00,-1105.6679523221833
2021-08-19 00:15:00,-1430.6377259728697
2021-08-19 00:30:00,-1267.2215810530004
2021-08-19 00:45:00,-1404.0885903775231
2021-08-19 01:00:00,-1132.8187188697596
2021-08-19 01:15:00,-1374.1415194268295
2021-08-19 01:30:00,-1166.0682748398433
2021-08-19 01:45:00,-1127.4737403022132
2021-08-19 02:00:00,-1241.0704179429465
2021-08-19 02:15:00,-1131.765462561744
2021-08-19 02:30:00,-1100.2768558418966
2021-08-19 02:45:00,-1266.1446248320246
2021-08-19 03:00:00,-1319.9274261921678
2021-08-19 03:15:00,-1290.8512576807368
2021-08-19 03:30:00,-1336.1917180421194
2021-08-19 03:45:00,-1347.5716745826517
2021-08-19 04:00:00,-1288.7022152617396
2021-08-19 04:15:00,-1367.2447150089342
2021-08-19 04:30:00,-1299.090744778666
2021-08-19 04:45:00,-1211.4526211900295
2021-08-19 05:00:00,-1167.258084595179
2021-08-19 05:15:00,-1133.4595164346686
2021-08-19 05:30:00,-1030.997721889628
2021-08-19 05:45:00,-1069.3590012177117
2021-08-19 06:00:00,-1027.2288144401673
