datetime,1B-WindowZone-TCS10-DBT
2021-08-16 08:45:00,22.21270302737105
2021-08-16 09:00:00,22.325663918739902
2021-08-16 09:15:00,22.60826519912337
2021-08-16 09:30:00,22.84485372173509
2021-08-16 09:45:00,23.11772385589751
2021-08-16 10:00:00,23.406385231581737
2021-08-16 10:15:00,23.718731918787967
2021-08-16 10:30:00,24.15817975060935
2021-08-16 10:45:00,24.502766756609844
2021-08-16 11:00:00,24.279978857271885
2021-08-16 11:15:00,24.1557064871987
2021-08-16 11:30:00,24.23847813289342
2021-08-16 11:45:00,24.23323093276423
2021-08-16 12:00:00,24.15562958933174
2021-08-16 12:15:00,23.85824067157415
2021-08-16 12:30:00,23.661922107946168
2021-08-16 12:45:00,23.520039074093745
2021-08-16 13:00:00,23.25934220281397
2021-08-16 13:15:00,23.125547883794752
