datetime,1B-OAT-1
2021-08-17 11:15:00,17.2004
2021-08-17 11:30:00,18.896
2021-08-17 11:45:00,18.8417
2021-08-17 12:00:00,19.0246
2021-08-17 12:15:00,19.8591
2021-08-17 12:30:00,20.086
2021-08-17 12:45:00,20.7552
2021-08-17 13:00:00,20.0434
2021-08-17 13:15:00,20.5345
2021-08-17 13:30:00,21.1581
2021-08-17 13:45:00,20.8556
2021-08-17 14:00:00,21.6936
2021-08-17 14:15:00,21.1757
2021-08-17 14:30:00,22.2668
2021-08-17 14:45:00,21.4838
2021-08-17 15:00:00,20.3923
2021-08-17 15:15:00,22.4547
2021-08-17 15:30:00,22.4927
2021-08-17 15:45:00,22.3324
2021-08-17 16:00:00,21.673
2021-08-17 16:15:00,21.5531
2021-08-17 16:30:00,21.198
2021-08-17 16:45:00,20.1345
2021-08-17 17:00:00,21.7293
2021-08-17 17:15:00,20.5563
2021-08-17 17:30:00,20.3784
2021-08-17 17:45:00,20.0296
2021-08-17 18:00:00,20.8805
2021-08-17 18:15:00,19.6333
2021-08-17 18:30:00,18.6581
2021-08-17 18:45:00,18.6195
2021-08-17 19:00:00,18.0751
2021-08-17 19:15:00,17.6151
2021-08-17 19:30:00,15.9704
2021-08-17 19:45:00,15.4265
2021-08-17 20:00:00,15.9417
2021-08-17 20:15:00,15.0654
2021-08-17 20:30:00,14.0322
2021-08-17 20:45:00,14.9628
2021-08-17 21:00:00,14.4603
2021-08-17 21:15:00,14.9325
2021-08-17 21:30:00,14.3017
2021-08-17 21:45:00,14.2695
2021-08-17 22:00:00,14.7281
2021-08-17 22:15:00,14.4572
2021-08-17 22:30:00,14.221
2021-08-17 22:45:00,14.6223
2021-08-17 23:00:00,13.973
2021-08-17 23:15:00,14.354
2021-08-17 23:30:00,13.5453
2021-08-17 23:45:00,14.1293
2021-08-18 00:00:00,14.6839
2021-08-18 00:15:00,13.9902
2021-08-18 00:30:00,13.8227
2021-08-18 00:45:00,14.2281
2021-08-18 01:00:00,13.8265
2021-08-18 01:15:00,14.7367
2021-08-18 01:30:00,14.2387
2021-08-18 01:45:00,15.0576
2021-08-18 02:00:00,15.1842
2021-08-18 02:15:00,14.3901
2021-08-18 02:30:00,15.2078
2021-08-18 02:45:00,15.0501
2021-08-18 03:00:00,15.0211
2021-08-18 03:15:00,14.4548
2021-08-18 03:30:00,14.4755
2021-08-18 03:45:00,15.0624
2021-08-18 04:00:00,15.4297
2021-08-18 04:15:00,13.5505
2021-08-18 04:30:00,14.5304
2021-08-18 04:45:00,14.6037
2021-08-18 05:00:00,14.6592
2021-08-18 05:15:00,15.1381
2021-08-18 05:30:00,14.2278
2021-08-18 05:45:00,14.1515
2021-08-18 06:00:00,13.8276
2021-08-18 06:15:00,14.1031
2021-08-18 06:30:00,14.0208
2021-08-18 06:45:00,14.2449
2021-08-18 07:00:00,14.9547
2021-08-18 07:15:00,13.9622
2021-08-18 07:30:00,13.6612
2021-08-18 07:45:00,14.0739
2021-08-18 08:00:00,14.7716
2021-08-18 08:15:00,15.0336
2021-08-18 08:30:00,15.8548
2021-08-18 08:45:00,15.9461
2021-08-18 09:00:00,16.7327
2021-08-18 09:15:00,15.7404
2021-08-18 09:30:00,15.7973
2021-08-18 09:45:00,16.6916
2021-08-18 10:00:00,17.0685
2021-08-18 10:15:00,17.9613
2021-08-18 10:30:00,17.8949
2021-08-18 10:45:00,18.3351
2021-08-18 11:00:00,19.3866
2021-08-18 11:15:00,19.7216
2021-08-18 11:30:00,19.4784
2021-08-18 11:45:00,19.9992
