datetime,1A-MidZone-TCS6-DBT
2021-08-16 08:45:00,22.197278219721795
2021-08-16 09:00:00,21.99442240079213
2021-08-16 09:15:00,22.14595038886125
2021-08-16 09:30:00,22.238049774089063
2021-08-16 09:45:00,22.358878781492702
2021-08-16 10:00:00,22.46162648001217
2021-08-16 10:15:00,22.543852487327
2021-08-16 10:30:00,22.572253238581425
2021-08-16 10:45:00,22.621216297870888
2021-08-16 11:00:00,22.649367004712303
2021-08-16 11:15:00,22.71107442989836
2021-08-16 11:30:00,22.765199413461403
2021-08-16 11:45:00,22.801207855856603
2021-08-16 12:00:00,22.86563463896925
2021-08-16 12:15:00,22.906801771292123
2021-08-16 12:30:00,22.95805454434748
2021-08-16 12:45:00,22.98400877481862
2021-08-16 13:00:00,22.981328206831904
2021-08-16 13:15:00,22.916874130197986
