datetime,1B-El-HWP
2021-08-16 08:45:00,51.01097768461538
2021-08-16 09:00:00,51.130708659090914
2021-08-16 09:15:00,51.198900086805565
2021-08-16 09:30:00,51.21464888846154
2021-08-16 09:45:00,51.31793606190475
2021-08-16 10:00:00,51.46428312727273
2021-08-16 10:15:00,51.49299336805555
2021-08-16 10:30:00,51.50388130961539
2021-08-16 10:45:00,51.42486922651514
2021-08-16 11:00:00,51.55807591818182
2021-08-16 11:15:00,51.57071021538461
2021-08-16 11:30:00,51.57613454761905
2021-08-16 11:45:00,51.541666198611104
2021-08-16 12:00:00,51.87951288269231
2021-08-16 12:15:00,51.51253946590909
2021-08-16 12:30:00,51.68747767638888
2021-08-16 12:45:00,51.61825933012821
2021-08-16 13:00:00,51.43790847678572
2021-08-16 13:15:00,51.44974707013889
2021-08-16 13:30:00,51.457944216025645
