datetime,1A-El-HWP
2021-08-16 09:00:00,55.58103174166667
2021-08-16 09:15:00,54.37369951180555
2021-08-16 09:30:00,54.15023985320512
2021-08-16 09:45:00,54.72778566428571
2021-08-16 10:00:00,54.55399116439394
2021-08-16 10:15:00,54.22368034027778
2021-08-16 10:30:00,54.52034299102564
2021-08-16 10:45:00,54.993295418181816
2021-08-16 11:00:00,54.45774019318182
2021-08-16 11:15:00,55.74790686217949
2021-08-16 11:30:00,56.51429473571428
2021-08-16 11:45:00,54.29069816041667
2021-08-16 12:00:00,54.12347636794872
2021-08-16 12:15:00,53.931887875
2021-08-16 12:30:00,53.92426562430556
2021-08-16 12:45:00,54.04795277628205
2021-08-16 13:00:00,54.31698864642857
2021-08-16 13:15:00,54.00885668194445
2021-08-16 13:30:00,54.17049538076923
