datetime,1A-WindowZone-TCS7-DBT
2021-08-16 08:45:00,22.782068011281524
2021-08-16 09:00:00,23.207574881350183
2021-08-16 09:15:00,22.65574610802895
2021-08-16 09:30:00,22.23378214431943
2021-08-16 09:45:00,22.323927216115862
2021-08-16 10:00:00,22.42924671989056
2021-08-16 10:15:00,22.59421441195332
2021-08-16 10:30:00,22.797524758711745
2021-08-16 10:45:00,23.063117589527906
2021-08-16 11:00:00,23.390769822265213
2021-08-16 11:15:00,23.762976515391927
2021-08-16 11:30:00,24.09437907012523
2021-08-16 11:45:00,24.45491468019856
2021-08-16 12:00:00,24.696481355178435
2021-08-16 12:15:00,24.48606819329489
2021-08-16 12:30:00,24.343292779421347
2021-08-16 12:45:00,24.05810552568829
2021-08-16 13:00:00,24.02701915870989
2021-08-16 13:15:00,23.900076781640507
